command,label,source,command_id
net.exe use Z: \\192.168.204.47\public,0,combined_lotl,1
ATBroker.exe /start malware,1,combined_lotl,2
"del ""C:\Users\usrs\Downloads\axycyg.dat"" /f /q",0,combined_lotl,3
"type.exe ""C:\Users\fkaegxksi.dat""",0,combined_lotl,4
#pragma delete_TRAP_DEST private localhost,0,combined_lotl,5
"attrib.exe +h ""D:\Users\ceknij\Downloads\Downloads\sberatw.dll""",0,combined_lotl,6
"dir ""D:\Logs\AppData"" /s /b",0,combined_lotl,7
C:\Windows\System32\net.exe use Z: \\192.168.107.54\backup,0,combined_lotl,8
"rmdir.exe ""C:\Users\fhbxott\Downloads\Pictures"" /s /q",0,combined_lotl,9
"certutil.exe -hashfile ""C:\Windows\yirhuqlc.log"" SHA256",0,combined_lotl,10
"icacls ""D:\Windows\AppData\nfbqahwg.ini"" /grant Everyone:F",0,combined_lotl,11
echo Nc4xLzVzhqiH > D:\Users\Logs\mnicgm.exe,0,combined_lotl,12
net.exe localgroup Administrators xciqzgop /add,0,combined_lotl,13
wt.exe {CMD},1,combined_lotl,14
echo.exe MpZvHvSqpBY7 > C:\Program Files\jduam.sys,0,combined_lotl,15
ping.exe 192.168.174.117,0,combined_lotl,16
"cdb.exe -pd -pn {process_name}
.shell {CMD}
",1,combined_lotl,17
"move.exe ""D:\Logs\rocisog.dll"" ""D:\AppData\ykller.dll""",0,combined_lotl,18
"powershell.exe -Command ""Get-ChildItem -Path C:\Windows\AppData -Recurse | Select-Object FullName, Length""",0,combined_lotl,19
bginfo.exe {PATH:.bgi} /popup /nolicprompt,1,combined_lotl,20
"move ""D:\AppData\Program Files\zewdaalrz.txt"" ""C:\AppData\egjcxhwsoc.exe""",0,combined_lotl,21
"copy ""D:\Users\yznql\Documents\akwptputl.txt"" ""C:\Users\xesgt\Pictures\zpjzfpkkd.exe""",0,combined_lotl,22
ping 192.168.192.150,0,combined_lotl,23
cmd.exe /Q /c *dir.exe 1> \\127.0.0.1\ADMIN$\__1684956600.123456 2>&1,1,volttyphoon,24
"fsutil.exe file layout ""C:\Logs\AppData\bftacxx.sys""",0,combined_lotl,25
"schtasks /create /sc minute /mo 1 /tn ""Reverse shell"" /tr ""{cmd.exe}""",1,combined_lotl,26
jsc.exe /t:library {PATH:.js},1,combined_lotl,27
"move.exe ""D:\Users\phwqm\Desktop\cbyvk.log"" ""C:\AppData\akzcxfswf.dat""",0,combined_lotl,28
Get-EventLog security -instanceid 4624,1,combined_lotl,29
